kick,a,b,c,d,e,f,g
1233,2093,399,180,2115,1181,1228,536
1574,2180,1745,1008,2012,773,973,1881
1410,192,2179,2272,437,1896,2037,147
982,1248,220,473,1147,1082,1777,2395
128,328,1244,1866,888,1895,1315,1443
853,408,352,1852,373,796,1457,2042
2041,1548,1604,1881,943,2172,2384,568
921,1114,787,491,1602,1778,912,467
1717,398,1578,1540,2380,1003,1994,1013
921,1055,702,1966,470,1688,2361,254
1911,1955,1145,1632,718,476,1532,1580
1768,967,1065,787,1323,2236,765,1889
1024,1647,1200,671,2120,1895,1147,1216
393,2084,1975,832,2347,807,1471,2210
1027,452,1591,1257,743,1964,801,1272
504,1817,1049,2070,1471,1729,2012,2046
1559,2317,935,409,1161,429,1283,541
334,1386,1709,992,529,1978,1882,1716
1918,2358,1600,1003,2325,2353,842,1748
1732,1421,228,238,1273,1482,1236,1969
1540,1708,2273,910,769,734,568,1551
1363,1693,2182,1374,682,2294,2306,1796
1678,247,1742,915,289,637,738,1566
1343,1517,701,844,1787,673,448,1138
380,886,249,162,817,947,1064,625
1463,1825,1246,2176,320,2289,1211,1628
2219,2124,843,601,2066,1086,164,1212
904,1561,1608,896,2316,2171,118,1552
1189,2003,193,1437,2024,1748,224,595
264,1171,159,1018,607,372,2131,1443
1178,704,2122,643,295,1990,1064,674
1167,776,330,826,1267,1400,1224,1866
2125,1357,2182,1042,1908,1088,2131,707
1325,1858,2120,626,1527,444,1516,2210
635,828,351,702,948,195,751,253
256,135,493,261,324,1569,1957,2228
1645,1313,927,2035,1228,788,161,700
1095,2211,992,691,352,234,1631,1759
1227,1184,2303,2151,1232,402,901,1426
2067,2335,177,168,962,473,1066,307
568,762,1227,976,1986,156,922,776
1376,1883,1257,332,1266,1463,1732,1441
1899,1936,1890,496,1116,1143,729,1572
533,1809,1974,932,2342,1643,341,2140
526,986,1528,1324,846,1925,1067,927
406,2120,565,277,1348,669,542,2373
1153,1778,2182,2317,1328,1001,2213,1609
1353,967,2168,1065,1392,493,936,2333
382,1794,2152,129,1724,1821,426,1395
659,1897,867,188,1941,2278,1952,251
